Iter^{-1/2}, Pi
0.0595491, 4
0.0594438, 3.98587
0.0593391, 3.97183
0.0592349, 3.95789
0.0591312, 3.94406
0.0590281, 3.93031
0.0589256, 3.91667
0.0588235, 3.90311
0.058722, 3.91724
0.058621, 3.90378
0.0585206, 3.91781
0.0584206, 3.90444
0.0583212, 3.89116
0.0582223, 3.87797
0.0581238, 3.89189
0.0580259, 3.87879
0.0579284, 3.89262
0.0578315, 3.8796
0.057735, 3.89333
0.057639, 3.8804
0.0575435, 3.89404
0.0574485, 3.90759
0.0573539, 3.92105
0.0572598, 3.9082
0.0571662, 3.92157
0.057073, 3.90879
0.0569803, 3.92208
0.056888, 3.93528
0.0567962, 3.92258
0.0567048, 3.90997
0.0566139, 3.92308
0.0565233, 3.9361
0.0564333, 3.94904
0.0563436, 3.9619
0.0562544, 3.97468
0.0561656, 3.96215
0.0560772, 3.97484
0.0559893, 3.96238
0.0559017, 3.95
0.0558146, 3.93769
0.0557278, 3.95031
0.0556415, 3.93808
0.0555556, 3.95062
0.05547, 3.93846
0.0553849, 3.92638
0.0553001, 3.91437
0.0552158, 3.90244
0.0551318, 3.91489
0.0550482, 3.90303
0.054965, 3.89124
0.0548821, 3.87952
0.0547997, 3.86787
0.0547176, 3.88024
0.0546358, 3.89254
0.0545545, 3.88095
0.0544735, 3.89318
0.0543928, 3.88166
0.0543125, 3.89381
0.0542326, 3.88235
0.054153, 3.87097
0.0540738, 3.88304
0.0539949, 3.87172
0.0539164, 3.88372
0.0538382, 3.89565
0.0537603, 3.88439
0.0536828, 3.8732
0.0536056, 3.88506
0.0535288, 3.87393
0.0534522, 3.88571
0.0533761, 3.89744
0.0533002, 3.90909
0.0532246, 3.92068
0.0531494, 3.9096
0.0530745, 3.89859
0.0529999, 3.88764
0.0529256, 3.87675
0.0528516, 3.88827
0.052778, 3.87744
0.0527046, 3.86667
0.0526316, 3.87812
0.0525588, 3.8674
0.0524864, 3.85675
0.0524142, 3.86813
0.0523424, 3.87945
0.0522708, 3.86885
0.0521996, 3.88011
0.0521286, 3.86957
0.0520579, 3.85908
0.0519875, 3.84865
0.0519174, 3.83827
0.0518476, 3.82796
0.051778, 3.81769
0.0517088, 3.80749
0.0516398, 3.81867
0.0515711, 3.80851
0.0515026, 3.79841
0.0514344, 3.80952
0.0513665, 3.82058
0.0512989, 3.81053
0.0512316, 3.80052
0.0511645, 3.81152
0.0510976, 3.82245
0.051031, 3.83333
0.0509647, 3.84416
0.0508987, 3.85492
0.0508329, 3.86563
0.0507673, 3.87629
0.050702, 3.88689
0.050637, 3.89744
0.0505722, 3.90793
0.0505076, 3.91837
0.0504433, 3.9084
0.0503793, 3.91878
0.0503155, 3.90886
0.0502519, 3.89899
0.0501886, 3.90932
0.0501255, 3.9196
0.0500626, 3.90977
0.05, 3.92
0.0499376, 3.93017
0.0498755, 3.9403
0.0498135, 3.93052
0.0497519, 3.94059
0.0496904, 3.93086
0.0496292, 3.94089
0.0495682, 3.95086
0.0495074, 3.94118
0.0494468, 3.9511
0.0493865, 3.94146
0.0493264, 3.95134
0.0492665, 3.96117
0.0492068, 3.95157
0.0491473, 3.94203
0.0490881, 3.93253
0.049029, 3.94231
0.0489702, 3.93285
0.0489116, 3.92344
0.0488532, 3.91408
0.048795, 3.92381
0.048737, 3.91449
0.0486792, 3.92417
0.0486217, 3.93381
0.0485643, 3.9434
0.0485071, 3.93412
0.0484502, 3.94366
0.0483934, 3.93443
0.0483368, 3.94393
0.0482805, 3.93473
0.0482243, 3.94419
0.0481683, 3.93503
0.0481125, 3.92593
0.0480569, 3.91686
0.0480015, 3.90783
0.0479463, 3.91724
0.0478913, 3.92661
0.0478365, 3.93593
0.0477818, 3.92694
0.0477274, 3.918
0.0476731, 3.90909
0.047619, 3.90023
0.0475651, 3.9095
0.0475114, 3.90068
0.0474579, 3.89189
0.0474045, 3.90112
0.0473514, 3.91031
0.0472984, 3.90157
0.0472456, 3.91071
0.0471929, 3.902
0.0471405, 3.89333
0.0470882, 3.90244
0.047036, 3.89381
0.0469841, 3.90287
0.0469323, 3.91189
0.0468807, 3.9033
0.0468293, 3.91228
0.046778, 3.90372
0.0467269, 3.91266
0.046676, 3.92157
0.0466252, 3.91304
0.0465746, 3.92191
0.0465242, 3.93074
0.0464739, 3.93952
0.0464238, 3.94828
0.0463739, 3.93978
0.0463241, 3.9485
0.0462745, 3.94004
0.046225, 3.93162
0.0461757, 3.92324
0.0461266, 3.93191
0.0460776, 3.94055
0.0460287, 3.9322
0.04598, 3.9408
0.0459315, 3.93249
0.0458831, 3.92421
0.0458349, 3.93277
0.0457869, 3.92453
0.0457389, 3.91632
0.0456912, 3.90814
0.0456435, 3.9
0.0455961, 3.89189
0.0455488, 3.90041
0.0455016, 3.89234
0.0454545, 3.90083
0.0454077, 3.89278
0.0453609, 3.90123
0.0453143, 3.89322
0.0452679, 3.88525
0.0452216, 3.89366
0.0451754, 3.88571
0.0451294, 3.8778
0.0450835, 3.86992
0.0450377, 3.8783
0.0449921, 3.87045
0.0449467, 3.86263
0.0449013, 3.87097
0.0448561, 3.86318
0.0448111, 3.87149
0.0447661, 3.86373
0.0447214, 3.856
0.0446767, 3.86427
0.0446322, 3.85657
0.0445878, 3.84891
0.0445435, 3.85714
0.0444994, 3.86535
0.0444554, 3.87352
0.0444116, 3.86588
0.0443678, 3.87402
0.0443242, 3.88212
0.0442807, 3.87451
0.0442374, 3.88258
0.0441942, 3.875
0.0441511, 3.86745
0.0441081, 3.85992
0.0440653, 3.86796
0.0440225, 3.87597
0.0439799, 3.88395
0.0439375, 3.89189
0.0438951, 3.88439
0.0438529, 3.87692
0.0438108, 3.88484
0.0437688, 3.89272
0.0437269, 3.88528
0.0436852, 3.89313
0.0436436, 3.90095
0.0436021, 3.89354
0.0435607, 3.90133
0.0435194, 3.89394
0.0434783, 3.88658
0.0434372, 3.87925
0.0433963, 3.88701
0.0433555, 3.8797
0.0433148, 3.88743
0.0432742, 3.88015
0.0432338, 3.88785
0.0431934, 3.89552
0.0431532, 3.90317
0.0431131, 3.89591
0.043073, 3.90353
0.0430331, 3.8963
0.0429934, 3.90388
0.0429537, 3.91144
0.0429141, 3.91897
0.0428746, 3.91176
0.0428353, 3.90459
0.042796, 3.89744
0.0427569, 3.89031
0.0427179, 3.89781
0.042679, 3.89071
0.0426401, 3.88364
0.0426014, 3.89111
0.0425628, 3.88406
0.0425243, 3.8915
0.0424859, 3.88448
0.0424476, 3.89189
0.0424094, 3.88489
0.0423714, 3.89228
0.0423334, 3.89964
0.0422955, 3.89267
0.0422577, 3.88571
0.04222, 3.87879
0.0421825, 3.88612
0.042145, 3.89343
0.0421076, 3.88652
0.0420703, 3.87965
0.0420331, 3.88693
0.0419961, 3.88007
0.0419591, 3.88732
0.0419222, 3.88049
0.0418854, 3.88772
0.0418487, 3.89492
0.0418121, 3.9021
0.0417756, 3.89529
0.0417392, 3.90244
0.0417029, 3.90957
0.0416667, 3.91667
0.0416305, 3.90988
0.0415945, 3.91696
0.0415586, 3.92401
0.0415227, 3.93103
0.041487, 3.93804
0.0414513, 3.93127
0.0414158, 3.93825
0.0413803, 3.93151
0.0413449, 3.93846
0.0413096, 3.93174
0.0412744, 3.92504
0.0412393, 3.93197
0.0412043, 3.93888
0.0411693, 3.94576
0.0411345, 3.93909
0.0410997, 3.93243
0.0410651, 3.93929
0.0410305, 3.94613
0.040996, 3.9395
0.0409616, 3.94631
0.0409273, 3.9397
0.040893, 3.93311
0.0408589, 3.9399
0.0408248, 3.93333
0.0407909, 3.92679
0.040757, 3.92027
0.0407231, 3.91376
0.0406894, 3.92053
0.0406558, 3.91405
0.0406222, 3.90759
0.0405887, 3.90115
0.0405554, 3.90789
0.040522, 3.90148
0.0404888, 3.89508
0.0404557, 3.9018
0.0404226, 3.89542
0.0403896, 3.88907
0.0403567, 3.88274
0.0403239, 3.88943
0.0402911, 3.8961
0.0402585, 3.88979
