Iter^{-1/2}, Pi
0.0597614, 0.792857
0.059655, 0.793594
0.0595491, 0.79078
0.0594438, 0.787986
0.0593391, 0.788732
0.0592349, 0.789474
0.0591312, 0.79021
0.0590281, 0.790941
0.0589256, 0.788194
0.0588235, 0.788927
0.058722, 0.789655
0.058621, 0.790378
0.0585206, 0.791096
0.0584206, 0.791809
0.0583212, 0.792517
0.0582223, 0.79322
0.0581238, 0.793919
0.0580259, 0.794613
0.0579284, 0.795302
0.0578315, 0.795987
0.057735, 0.793333
0.057639, 0.79402
0.0575435, 0.794702
0.0574485, 0.79538
0.0573539, 0.792763
0.0572598, 0.793443
0.0571662, 0.794118
0.057073, 0.794788
0.0569803, 0.792208
0.056888, 0.79288
0.0567962, 0.793548
0.0567048, 0.794212
0.0566139, 0.794872
0.0565233, 0.795527
0.0564333, 0.796178
0.0563436, 0.796825
0.0562544, 0.797468
0.0561656, 0.798107
0.0560772, 0.795597
0.0559893, 0.793103
0.0559017, 0.79375
0.0558146, 0.794393
0.0557278, 0.795031
0.0556415, 0.795666
0.0555556, 0.79321
0.05547, 0.793846
0.0553849, 0.794479
0.0553001, 0.795107
0.0552158, 0.795732
0.0551318, 0.796353
0.0550482, 0.793939
0.054965, 0.794562
0.0548821, 0.795181
0.0547997, 0.795796
0.0547176, 0.793413
0.0546358, 0.791045
0.0545545, 0.791667
0.0544735, 0.792285
0.0543928, 0.792899
0.0543125, 0.79351
0.0542326, 0.794118
0.054153, 0.794721
0.0540738, 0.792398
0.0539949, 0.793003
0.0539164, 0.793605
0.0538382, 0.794203
0.0537603, 0.794798
0.0536828, 0.795389
0.0536056, 0.795977
0.0535288, 0.796562
0.0534522, 0.794286
0.0533761, 0.794872
0.0533002, 0.795455
0.0532246, 0.796034
0.0531494, 0.79661
0.0530745, 0.797183
0.0529999, 0.794944
0.0529256, 0.795518
0.0528516, 0.796089
0.052778, 0.796657
0.0527046, 0.797222
0.0526316, 0.797784
0.0525588, 0.798343
0.0524864, 0.798898
0.0524142, 0.799451
0.0523424, 0.79726
0.0522708, 0.797814
0.0521996, 0.798365
0.0521286, 0.796196
0.0520579, 0.794038
0.0519875, 0.794595
0.0519174, 0.795148
0.0518476, 0.793011
0.051778, 0.793566
0.0517088, 0.794118
0.0516398, 0.794667
0.0515711, 0.795213
0.0515026, 0.795756
0.0514344, 0.796296
0.0513665, 0.796834
0.0512989, 0.797368
0.0512316, 0.7979
0.0511645, 0.795812
0.0510976, 0.796345
0.051031, 0.796875
0.0509647, 0.794805
0.0508987, 0.792746
0.0508329, 0.793282
0.0507673, 0.793814
0.050702, 0.794344
